date,open,high,low,close,volume,target
2022-03-21,2846.59,3064.69,2844.4,3027.7,9298.65997,0.9701522607920203
2022-03-22,3029.66,3033.12,2921.05,2937.33,7781.33249,1.031273299220721
2022-03-23,2939.15,3081.66,2929.82,3029.19,8332.44542,1.0379408356689412
2022-03-24,3028.56,3146.54,3004.0,3144.12,7809.07773,0.9906492118621426
2022-03-25,3144.68,3194.8,3075.47,3114.72,6507.8302,1.0082928802588997
2022-03-26,3113.9,3170.86,3106.67,3140.55,3158.01122,1.0568212574230629
2022-03-27,3140.5,3324.83,3127.09,3319.0,7247.37989,1.0217505272672491
2022-03-28,3319.0,3432.48,3304.82,3391.19,8859.61193,0.9947953373299638
2022-03-29,3391.44,3483.39,3333.21,3373.54,7322.58517,1.005878098377372
2022-03-30,3374.0,3449.33,3350.03,3393.37,5404.66276,0.9573668653875056
2022-03-31,3391.89,3446.38,3212.0,3248.7,8530.1028,1.0712838981746546
2022-04-01,3249.49,3525.44,3243.98,3480.28,8278.55542,0.99897422046502
2022-04-02,3480.01,3531.65,3414.3,3476.71,5722.1992,1.0063076874401373
2022-04-03,3476.84,3581.49,3470.4,3498.64,5943.31846,1.0074000182928224
2022-04-04,3497.88,3548.01,3409.09,3524.53,7085.01771,0.9533838554360439
2022-04-05,3525.23,3555.04,3266.66,3360.23,9548.52767,0.9543781229261091
2022-04-06,3360.25,3374.87,3142.46,3206.93,11085.54275,1.016299077310699
2022-04-07,3207.63,3276.56,3158.93,3259.2,5911.07896,0.9843243740795288
2022-04-08,3259.71,3314.77,3173.61,3208.11,9594.98997,1.0146316678667502
2022-04-09,3208.3,3269.39,3194.33,3255.05,3778.52552,0.976356737991736
2022-04-10,3253.79,3308.83,3151.59,3178.09,6071.96643,0.9443785418285826
2022-04-11,3180.77,3190.69,2949.53,3001.32,14474.94524,1.01974464568923
2022-04-12,3001.68,3086.4,2966.01,3060.58,11694.74851,1.0171732155343105
2022-04-13,3060.58,3144.78,2998.0,3113.14,9492.02357,0.9743924140899543
2022-04-14,3112.96,3122.78,2977.03,3033.42,8526.57388,1.003982303802309
2022-04-15,3033.78,3060.43,2993.45,3045.5,3934.25668,0.9970940732227878
2022-04-16,3045.16,3087.17,3010.71,3036.65,3248.9799,0.9593795794707984
2022-04-17,3037.66,3083.01,2901.72,2913.3,7462.59043,1.0453952562386297
2022-04-18,2912.21,3097.53,2884.45,3045.55,14375.6698,1.0134721150531103
2022-04-19,3047.86,3132.0,3030.35,3086.58,5736.62477,0.9994978260728704
2022-04-20,3087.39,3169.42,3037.49,3085.03,8273.51991,0.9774070268360436
2022-04-21,3084.3,3181.31,2937.5,3015.33,12035.21085,0.9775016333203994
2022-04-22,3016.11,3033.99,2916.82,2947.49,7738.6395,1.0016997513138297
2022-04-23,2948.22,2979.26,2922.04,2952.5,3209.96947,0.970628281117697
2022-04-24,2952.22,2968.08,2842.0,2865.78,6833.12747,1.0498503025354353
2022-04-25,2866.11,3038.54,2796.75,3008.64,14745.87503,0.9450981174218251
2022-04-26,3007.01,3021.31,2766.61,2843.46,11484.48978,1.0174646381521104
2022-04-27,2844.44,2921.02,2820.23,2893.12,8548.71495,1.0093082900121668
2022-04-28,2892.21,2985.41,2854.42,2920.05,9431.12292,0.9661923597198677
2022-04-29,2918.86,2936.01,2775.6,2821.33,7424.43242,0.9831285244902227
2022-04-30,2821.65,2842.07,2716.0,2773.73,6002.45882,1.0304535769523349
2022-05-01,2773.41,2865.92,2753.11,2858.2,6190.67244,0.9965887621580015
2022-05-02,2860.11,2883.05,2778.03,2848.45,7629.71991,0.9807825308501116
2022-05-03,2848.96,2854.24,2754.57,2793.71,6477.32864,1.0542361232912507
2022-05-04,2794.54,2967.63,2788.44,2945.23,9612.43889,0.9322735406063364
2022-05-05,2945.27,2950.77,2687.9,2745.76,12155.45728,0.9671712021443971
2022-05-06,2746.43,2754.96,2632.54,2655.62,11015.86519,0.9549784984297452
2022-05-07,2655.63,2703.47,2516.84,2536.06,10612.81547,0.9701663209860966
2022-05-08,2535.31,2577.38,2422.28,2460.4,12649.12658,0.9530482848317346
