date,open,high,low,close,volume,target
2022-06-09,0.6154,0.6617,0.6133,0.6485,8069052.0,0.933230531996916
2022-06-10,0.649,0.6601,0.5899,0.6052,8169075.2,0.8420356906807668
2022-06-11,0.6044,0.6057,0.5044,0.5096,13661241.5,0.9079670329670328
2022-06-12,0.5087,0.5437,0.4556,0.4627,12328716.0,0.9139831424248973
2022-06-13,0.463,0.4665,0.3957,0.4229,28502131.0,0.9269330811066446
2022-06-14,0.4224,0.4523,0.3863,0.392,17856589.4,1.0752551020408163
2022-06-15,0.3921,0.4441,0.3635,0.4215,17407626.1,0.9285883748517202
2022-06-16,0.4228,0.425,0.375,0.3914,7527101.7,0.9987225344915688
2022-06-17,0.3915,0.4079,0.3867,0.3909,7420802.4,0.8595548733691482
2022-06-18,0.3921,0.393,0.3159,0.336,9980106.4,1.0794642857142858
2022-06-19,0.3354,0.3872,0.3262,0.3627,12187258.9,1.1373035566583953
2022-06-20,0.3625,0.4142,0.3609,0.4125,12455973.0,0.9871515151515152
2022-06-21,0.4129,0.4536,0.4003,0.4072,12060747.1,1.2146365422396856
2022-06-22,0.4073,0.5003,0.3945,0.4946,19220671.9,1.2090578245046502
2022-06-23,0.4949,0.6257,0.4813,0.598,30080076.8,1.0220735785953177
2022-06-24,0.5983,0.6272,0.5689,0.6112,17936713.4,0.9697316753926702
2022-06-25,0.6111,0.6185,0.5664,0.5927,12445530.5,0.9709802598279063
2022-06-26,0.5932,0.626,0.5535,0.5755,9723215.6,0.9098175499565594
2022-06-27,0.5756,0.5962,0.5072,0.5236,15301079.6,1.0049656226126815
2022-06-28,0.5236,0.574,0.5038,0.5262,16389073.3,0.9047890535917902
2022-06-29,0.5265,0.5458,0.4724,0.4761,23126400.4,0.9787859693341735
2022-06-30,0.4761,0.4976,0.4175,0.466,16587711.5,0.9759656652360514
2022-07-01,0.4657,0.487,0.448,0.4548,13202098.6,1.0679419525065963
2022-07-02,0.4547,0.4963,0.4547,0.4857,4347402.5,0.9357628165534281
2022-07-03,0.4863,0.4931,0.4484,0.4545,5619403.4,1.1507150715071508
2022-07-04,0.4545,0.5293,0.4527,0.523,14640753.8,0.9724665391969408
2022-07-05,0.5228,0.5346,0.4854,0.5086,19481136.1,1.0198584349193864
2022-07-06,0.5081,0.5339,0.5008,0.5187,16926365.5,1.125506072874494
2022-07-07,0.5184,0.5977,0.5109,0.5838,18137643.1,1.0179856115107915
2022-07-08,0.5828,0.6194,0.5556,0.5943,19333477.2,0.961299007235403
2022-07-09,0.594,0.6036,0.5654,0.5713,6286340.0,0.9725188167337651
2022-07-10,0.5719,0.5863,0.5456,0.5556,6087126.1,1.0424766018718503
2022-07-11,0.5553,0.597,0.5361,0.5792,12902477.2,0.9428522099447514
2022-07-12,0.5791,0.5929,0.5313,0.5461,13040758.7,1.1726789965207836
2022-07-13,0.5462,0.6569,0.5167,0.6404,31331794.9,1.0827607745159276
2022-07-14,0.6411,0.7338,0.6131,0.6934,35361788.4,1.0037496394577443
2022-07-15,0.6939,0.735,0.6749,0.696,15952678.1,1.0596264367816093
2022-07-16,0.6961,0.744,0.6819,0.7375,11794650.0,1.1303050847457627
2022-07-17,0.738,0.8337,0.738,0.8336,16390803.6,1.097408829174664
2022-07-18,0.8331,0.9821,0.8331,0.9148,37621900.9,1.0190205509400962
2022-07-19,0.9147,0.9527,0.8836,0.9322,19289372.2,0.8813559322033898
2022-07-20,0.9329,0.9495,0.7965,0.8216,22344902.8,1.0933544303797469
2022-07-21,0.8216,0.9343,0.8206,0.8983,18223777.5,0.9706111544027608
2022-07-22,0.8978,0.9239,0.8376,0.8719,16460894.7,0.9811905034981077
2022-07-23,0.8726,0.8887,0.815,0.8555,11036792.2,0.9850379894798363
2022-07-24,0.8559,0.9091,0.8269,0.8427,14656215.4,0.9131363474546101
2022-07-25,0.8427,0.8436,0.7468,0.7695,13706405.6,1.008447043534763
2022-07-26,0.7708,0.7878,0.7221,0.776,13330690.9,1.1289948453608247
